pincode,status,is_prime,state
136034,Serviceable,false,
136038,Serviceable,false,
136042,Serviceable,false,
136043,Serviceable,false,
136044,Serviceable,false,
136117,Serviceable,false,
136118,Serviceable,false,
136130,Serviceable,false,
136131,Serviceable,false,
136132,Serviceable,false,
136135,Serviceable,false,
136136,Serviceable,false,
140101,Serviceable,false,
140102,Serviceable,false,
140103,Serviceable,false,
140115,Serviceable,false,
140118,Serviceable,false,
140119,Serviceable,false,
140125,Serviceable,false,
140201,Serviceable,false,
140301,Serviceable,false,
140306,Serviceable,false,
140307,Serviceable,false,
140308,Serviceable,false,
140401,Serviceable,false,
140417,Serviceable,false,
140501,Serviceable,false,
140601,Serviceable,false,
140602,Serviceable,false,
140603,Serviceable,false,
140604,Serviceable,false,
140701,Serviceable,false,
140702,Serviceable,false,
140801,Serviceable,false,
141000,Serviceable,false,
141001,Serviceable,false,
141002,Serviceable,false,
141003,Serviceable,false,
141004,Serviceable,false,
141005,Serviceable,false,
141006,Serviceable,false,
141009,Serviceable,false,
141010,Serviceable,false,
141012,Serviceable,false,
141013,Serviceable,false,
141014,Serviceable,false,
141015,Serviceable,false,
141016,Serviceable,false,
141017,Serviceable,false,
141020,Serviceable,false,
141101,Serviceable,false,
141102,Serviceable,false,
141103,Serviceable,false,
141104,Serviceable,false,
141105,Serviceable,false,
141106,Serviceable,false,
141107,Serviceable,false,
141108,Serviceable,false,
141109,Serviceable,false,
141110,Serviceable,false,
141111,Serviceable,false,
141112,Serviceable,false,
141113,Serviceable,false,
141114,Serviceable,false,
141115,Serviceable,false,
141116,Serviceable,false,
141117,Serviceable,false,
141118,Serviceable,false,
141119,Serviceable,false,
141120,Serviceable,false,
141121,Serviceable,false,
141123,Serviceable,false,
141124,Serviceable,false,
141125,Serviceable,false,
141126,Serviceable,false,
141147,Serviceable,false,
141202,Serviceable,false,
141203,Serviceable,false,
141205,Serviceable,false,
141206,Serviceable,false,
141401,Serviceable,false,
141402,Serviceable,false,
141412,Serviceable,false,
141413,Serviceable,false,
141414,Serviceable,false,
141415,Serviceable,false,
141416,Serviceable,false,
141417,Serviceable,false,
141418,Serviceable,false,
141419,Serviceable,false,
141421,Serviceable,false,
141422,Serviceable,false,
142001,Serviceable,false,
142011,Serviceable,false,
142021,Serviceable,false,
142022,Serviceable,false,
142023,Serviceable,false,
142024,Serviceable,false,
142025,Serviceable,false,
142026,Serviceable,false,
142027,Serviceable,false,
142028,Serviceable,false,
142029,Serviceable,false,
142030,Serviceable,false,
142031,Serviceable,false,
142032,Serviceable,false,
142033,Serviceable,false,
142034,Serviceable,false,
142035,Serviceable,false,
142036,Serviceable,false,
142039,Serviceable,false,
142041,Serviceable,false,
142044,Serviceable,false,
142046,Serviceable,false,
142048,Serviceable,false,
142049,Serviceable,false,
142052,Serviceable,false,
142053,Serviceable,false,
142054,Serviceable,false,
142055,Serviceable,false,
142056,Serviceable,false,
142057,Serviceable,false,
143001,Serviceable,false,
143002,Serviceable,false,
143006,Serviceable,false,
143009,Serviceable,false,
143022,Serviceable,false,
143026,Serviceable,false,
143101,Serviceable,false,
143102,Serviceable,false,
143103,Serviceable,false,
143107,Serviceable,false,
143108,Serviceable,false,
143109,Serviceable,false,
143110,Serviceable,false,
143112,Serviceable,false,
143113,Serviceable,false,
143114,Serviceable,false,
143115,Serviceable,false,
143116,Serviceable,false,
143117,Serviceable,false,
143201,Serviceable,false,
143205,Serviceable,false,
143301,Serviceable,false,
143302,Serviceable,false,
143303,Serviceable,false,
143304,Serviceable,false,
143305,Serviceable,false,
143409,Serviceable,false,
143410,Serviceable,false,
143412,Serviceable,false,
143415,Serviceable,false,
143416,Serviceable,false,
143501,Serviceable,false,
143502,Serviceable,false,
143504,Serviceable,false,
143505,Serviceable,false,
143506,Serviceable,false,
143507,Serviceable,false,
143511,Serviceable,false,
143512,Serviceable,false,
143514,Serviceable,false,
143515,Serviceable,false,
143516,Serviceable,false,
143519,Serviceable,false,
143521,Serviceable,false,
143525,Serviceable,false,
143526,Serviceable,false,
143527,Serviceable,false,
143528,Serviceable,false,
143529,Serviceable,false,
143530,Serviceable,false,
143531,Serviceable,false,
143533,Serviceable,false,
143534,Serviceable,false,
143601,Serviceable,false,
143602,Serviceable,false,
143603,Serviceable,false,
143604,Serviceable,false,
143605,Serviceable,false,
143606,Serviceable,false,
144001,Serviceable,false,
144002,Serviceable,false,
144003,Serviceable,false,
144004,Serviceable,false,
144005,Serviceable,false,
144006,Serviceable,false,
144007,Serviceable,false,
144009,Serviceable,false,
144012,Serviceable,false,
144013,Serviceable,false,
144014,Serviceable,false,
144020,Serviceable,false,
144021,Serviceable,false,
144022,Serviceable,false,
144023,Serviceable,false,
144024,Serviceable,false,
144025,Serviceable,false,
144026,Serviceable,false,
144027,Serviceable,false,
144039,Serviceable,false,
144040,Serviceable,false,
144041,Serviceable,false,
144042,Serviceable,false,
144101,Serviceable,false,
144102,Serviceable,false,
144103,Serviceable,false,
144201,Serviceable,false,
144203,Serviceable,false,
144204,Serviceable,false,
144205,Serviceable,false,
144206,Serviceable,false,
144207,Serviceable,false,
144208,Serviceable,false,
144209,Serviceable,false,
144210,Serviceable,false,
144211,Serviceable,false,
144213,Serviceable,false,
144216,Serviceable,false,
144221,Serviceable,false,
144222,Serviceable,false,
144223,Serviceable,false,
144301,Serviceable,false,
144303,Serviceable,false,
144306,Serviceable,false,
144402,Serviceable,false,
144403,Serviceable,false,
144406,Serviceable,false,
144409,Serviceable,false,
144410,Serviceable,false,
144417,Serviceable,false,
144421,Serviceable,false,
144422,Serviceable,false,
144505,Serviceable,false,
144514,Serviceable,false,
144519,Serviceable,false,
144521,Serviceable,false,
144522,Serviceable,false,
144523,Serviceable,false,
144527,Serviceable,false,
144528,Serviceable,false,
144533,Serviceable,false,
144602,Serviceable,false,
144620,Serviceable,false,
144622,Serviceable,false,
144623,Serviceable,false,
144624,Serviceable,false,
144628,Serviceable,false,
144632,Serviceable,false,
144702,Serviceable,false,
144801,Serviceable,false,
144802,Serviceable,false,
144805,Serviceable,false,
145001,Serviceable,false,
145023,Serviceable,false,
145025,Serviceable,false,
145026,Serviceable,false,
145029,Serviceable,false,
146001,Serviceable,false,
146021,Serviceable,false,
146024,Serviceable,false,
146102,Serviceable,false,
146110,Serviceable,false,
147001,Serviceable,false,
147002,Serviceable,false,
147003,Serviceable,false,
147021,Serviceable,false,
147102,Serviceable,false,
147111,Serviceable,false,
147201,Serviceable,false,
147202,Serviceable,false,
147506,Serviceable,false,
148019,Serviceable,false,
148020,Serviceable,false,
148022,Serviceable,false,
148023,Serviceable,false,
148024,Serviceable,false,
148025,Serviceable,false,
148027,Serviceable,false,
148028,Serviceable,false,
148030,Serviceable,false,
148031,Serviceable,false,
148034,Serviceable,false,
148035,Serviceable,false,
148101,Serviceable,false,
148102,Serviceable,false,
148104,Serviceable,false,
148105,Serviceable,false,
148106,Serviceable,false,
148107,Serviceable,false,
148109,Serviceable,false,
151001,Serviceable,false,
151002,Serviceable,false,
151004,Serviceable,false,
151005,Serviceable,false,
151101,Serviceable,false,
151102,Serviceable,false,
151104,Serviceable,false,
151106,Serviceable,false,
151201,Serviceable,false,
151202,Serviceable,false,
151203,Serviceable,false,
151204,Serviceable,false,
151205,Serviceable,false,
151206,Serviceable,false,
151207,Serviceable,false,
151209,Serviceable,false,
151212,Serviceable,false,
151301,Serviceable,false,
151401,Serviceable,false,
151501,Serviceable,false,
151502,Serviceable,false,
151503,Serviceable,false,
151504,Serviceable,false,
151506,Serviceable,false,
151507,Serviceable,false,
151508,Serviceable,false,
151509,Serviceable,false,
152004,Serviceable,false,
152021,Serviceable,false,
152023,Serviceable,false,
152028,Serviceable,false,
152033,Serviceable,false,
152116,Serviceable,false,
152117,Serviceable,false,
152121,Serviceable,false,
152122,Serviceable,false,
152124,Serviceable,false,
152128,Serviceable,false,
160001,Serviceable,false,
160002,Serviceable,false,
160003,Serviceable,false,
160008,Serviceable,false,
160009,Serviceable,false,
160010,Serviceable,false,
160011,Serviceable,false,
